respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.13324742019176483,0.15672098100185394
26708,0.01330085750669241,0.030942898243665695
26709,0.19384053349494934,0.6593779921531677
26710,0.6834666132926941,0.8986830711364746
26711,0.3188196122646332,0.4831884801387787
26712,0.8439943790435791,0.9735698699951172
26713,0.3296380639076233,0.6368653178215027
26714,0.1765352487564087,0.1222042515873909
26715,0.025681443512439728,0.08091346174478531
26716,0.18976180255413055,0.9003344774246216
26717,0.012040459550917149,0.40886762738227844
26718,0.36271658539772034,0.5000492930412292
26719,0.10854445397853851,0.9392256140708923
26720,0.016502557322382927,0.23319554328918457
26721,0.3331543505191803,0.30474430322647095
26722,0.07507375627756119,0.12203182280063629
26723,0.7970678210258484,0.9298467636108398
26724,0.031725361943244934,0.7739616632461548
26725,0.022219283506274223,0.06768884509801865
26726,0.04182811453938484,0.018091833218932152
26727,0.5755519866943359,0.9122145175933838
26728,0.21056030690670013,0.5570622086524963
26729,0.14440390467643738,0.7170247435569763
26730,0.03284647315740585,0.16014881432056427
26731,0.02777945064008236,0.1745455414056778
26732,0.11212325096130371,0.1746746003627777
26733,0.9490323662757874,0.9633735418319702
26734,0.8502933979034424,0.30839627981185913
26735,0.06829528510570526,0.32015037536621094
26736,0.05623500421643257,0.17356091737747192
26737,0.05054427683353424,0.07166417688131332
26738,0.8030611872673035,0.9060767292976379
26739,0.0851302370429039,0.26202642917633057
26740,0.15753066539764404,0.1192624494433403
26741,0.07443148642778397,0.892708420753479
26742,0.08246081322431564,0.42212343215942383
26743,0.053542088717222214,0.4638577103614807
26744,0.031417474150657654,0.7007327675819397
26745,0.06143800914287567,0.8057088851928711
26746,0.1814144104719162,0.3386593461036682
26747,0.04774479940533638,0.15103214979171753
26748,0.059233229607343674,0.05164770409464836
26749,0.13632449507713318,0.7302976846694946
26750,0.41049450635910034,0.8742763996124268
26751,0.5195750594139099,0.7866677045822144
26752,0.05990353226661682,0.07554756850004196
26753,0.2794618010520935,0.6206585764884949
26754,0.1761808693408966,0.479951947927475
26755,0.1914636194705963,0.5206531882286072
26756,0.013307461515069008,0.02859157882630825
26757,0.2469136267900467,0.4488505721092224
26758,0.5273110270500183,0.8258117437362671
26759,0.02744220197200775,0.17697645723819733
26760,0.02837640419602394,0.10146532952785492
26761,0.4124351739883423,0.7687983512878418
26762,0.16145025193691254,0.8013177514076233
26763,0.9111956357955933,0.9596292972564697
26764,0.9443979263305664,0.9800539612770081
26765,0.031859032809734344,0.7148280143737793
26766,0.14180120825767517,0.1827940046787262
26767,0.8863179683685303,0.7040917873382568
26768,0.026266634464263916,0.40849044919013977
26769,0.056551121175289154,0.159908264875412
26770,0.0334530733525753,0.512845516204834
26771,0.01834828406572342,0.14124169945716858
26772,0.06758642196655273,0.5963534116744995
26773,0.028015445917844772,0.212410569190979
26774,0.02607584372162819,0.30197852849960327
26775,0.022092264145612717,0.4786056876182556
26776,0.3812561333179474,0.3953264057636261
26777,0.10034678876399994,0.9626873135566711
26778,0.041446175426244736,0.038284506648778915
26779,0.17994894087314606,0.5431926846504211
26780,0.056761734187603,0.9075793623924255
26781,0.054435838013887405,0.4891490638256073
26782,0.07350621372461319,0.3257862329483032
26783,0.02179631032049656,0.22267040610313416
26784,0.10910090804100037,0.8744620680809021
26785,0.47017717361450195,0.6581886410713196
26786,0.032615672796964645,0.19358183443546295
26787,0.040714215487241745,0.5424332022666931
26788,0.04020925238728523,0.9002892374992371
26789,0.01676461659371853,0.17407558858394623
26790,0.01919044740498066,0.18871650099754333
26791,0.03179371356964111,0.11787095665931702
26792,0.0534159280359745,0.7212074995040894
26793,0.08370552211999893,0.9573930501937866
26794,0.6108373999595642,0.8480031490325928
26795,0.08835281431674957,0.9692668318748474
26796,0.028448160737752914,0.030648166313767433
26797,0.1491178572177887,0.7812552452087402
26798,0.22113901376724243,0.16269509494304657
26799,0.25855717062950134,0.29510295391082764
26800,0.04962572455406189,0.9475046992301941
26801,0.1784859448671341,0.21582217514514923
26802,0.09828757494688034,0.1974787712097168
26803,0.028693068772554398,0.15918023884296417
26804,0.030093079432845116,0.089751236140728
26805,0.025922531262040138,0.13839183747768402
26806,0.0159444659948349,0.9254242181777954
26807,0.2869311273097992,0.8117429614067078
26808,0.1131187304854393,0.44114699959754944
26809,0.5968722105026245,0.26325979828834534
26810,0.029592523351311684,0.11511898040771484
26811,0.015291555784642696,0.0534709095954895
26812,0.24067987501621246,0.9058340191841125
26813,0.5809293985366821,0.31867164373397827
26814,0.023752432316541672,0.7452607750892639
26815,0.017326420173048973,0.029321614652872086
26816,0.08366236090660095,0.09077960252761841
26817,0.04215913638472557,0.6495217680931091
26818,0.10730791091918945,0.3038463294506073
26819,0.1700071543455124,0.20437349379062653
26820,0.04590340331196785,0.15616710484027863
26821,0.03370770812034607,0.6048843860626221
26822,0.09124401956796646,0.6362938284873962
26823,0.3272583484649658,0.3877229690551758
26824,0.019585996866226196,0.6855438351631165
26825,0.4027697443962097,0.7340848445892334
26826,0.04193979501724243,0.6637810468673706
26827,0.014388778246939182,0.0828893631696701
26828,0.07157762348651886,0.4234263598918915
26829,0.836980938911438,0.9405225515365601
26830,0.025562843307852745,0.8044399619102478
26831,0.11042856425046921,0.9205390214920044
26832,0.03189859911799431,0.7398607730865479
26833,0.028124259784817696,0.5010704398155212
26834,0.20434437692165375,0.4550114870071411
26835,0.34628358483314514,0.8699500560760498
26836,0.23533540964126587,0.75187087059021
26837,0.07848245650529861,0.02898368425667286
26838,0.11892564594745636,0.3885404169559479
26839,0.10031978785991669,0.3818388879299164
26840,0.09770448505878448,0.11881708353757858
26841,0.4392620325088501,0.830029308795929
26842,0.10082036256790161,0.23362140357494354
26843,0.02896067686378956,0.0395507775247097
